Time;L.ShoulderF;L.ShoulderS;L.ElbowR;L.Elbow;L.WristR;L.WristS;L.WristF;L.Finger.Index;L.Finger.Little;L.Finger.Middle;L.Finger.Ring;L.Finger.ThumbS;L.Finger.Thumb;R.ShoulderF;R.ShoulderS;R.ElbowR;R.Elbow;R.WristR;R.WristS;R.WristF;R.Finger.Index;R.Finger.Little;R.Finger.Middle;R.Finger.Ring;R.Finger.ThumbS;R.Finger.Thumb;TorsoR;TorsoF;TorsoS
100;6,048;16,368;1,974;3,2;-8,584;14,664;191,76;-44,571;-82,253;-57,021;-70,633;14,025;45,152;6,552;-8,184;20,398;-5,16;11,194;-13,818;0,846;20,003;16,019;45,899;38,429;-117,375;-307,183;130,3294;-3,867969;115,1081
200;6,048;16,368;1,974;3,2;-8,584;14,664;191,76;-44,571;-82,253;-57,021;-70,633;14,025;45,152;6,552;-8,096;20,398;-5,16;11,194;-13,818;0,9399999;20,003;16,019;45,899;38,595;-117,375;-307,183;130,7254;-4,171657;134,1276
300;6,048;16,28;2,068;3,2;-8,584;14,758;191,76;-44,571;-82,253;-57,021;-70,633;14,025;45,152;6,552;-8,184;20,586;-5,14;11,194;-14,1;1,034;20,003;16,019;45,899;38,595;-117,375;-307,183;131,0603;-4,758147;152,8516
400;6,048;16,368;2,162;3,2;-8,584;14,758;191,76;-44,571;-82,253;-57,021;-70,633;14,025;45,152;6,552;-8,272;20,586;-4,98;11,194;-14,1;1,034;20,003;16,019;45,899;38,678;-117,375;-307,183;131,1421;-5,422583;170,2717
500;6,048;16,28;1,88;3,2;-8,584;14,852;191,76;-44,571;-82,253;-57,021;-70,633;14,025;45,152;6,552;-8,36;20,68;-4,94;11,194;-14,006;1,034;20,003;16,019;45,899;38,844;-117,375;-307,183;131,0185;-6,602;-170,7066
600;6,048;16,368;1,598;3,2;-8,584;14,758;191,76;-44,571;-82,253;-57,021;-70,633;14,025;45,152;6,552;-8,272;20,774;-4,94;11,136;-13,912;0,846;20,003;16,019;45,899;39,01;-117,375;-307,183;130,7809;-7,184428;-154,045
700;5,985;16,368;1,222;3,2;-8,584;14,852;191,76;-44,571;-82,253;-57,021;-70,633;14,025;45,152;6,552;-8,272;21,15;-4,94;11,136;-14,006;0,752;20,086;16,019;45,899;39,093;-117,375;-307,183;130,4624;-7,642269;-137,0827
800;5,859;16,368;0,9399999;3,2;-8,584;14,852;191,76;-44,571;-82,253;-57,021;-70,633;14,1;45,152;6,552;-8,272;21,15;-4,94;11,136;-14,006;0,752;20,003;16,019;45,899;39,093;-117,375;-307,183;130,1856;-8,000119;-118,3996
900;5,859;16,368;0,846;3,2;-8,584;14,852;191,76;-44,571;-82,253;-57,021;-70,633;14,1;45,152;6,552;-8,448;21,056;-4,94;11,136;-14,006;0,846;20,086;16,019;45,899;39,176;-117,375;-307,183;129,9266;-8,228046;-100,4454
1000;5,859;16,368;0,752;3,2;-8,584;14,852;191,76;-44,571;-82,253;-57,021;-70,633;14,025;45,152;6,552;-8,448;20,962;-4,94;11,136;-14,1;0,658;20,086;16,019;45,899;39,259;-117,375;-307,183;129,6239;-8,39755;-81,75845
1100;5,859;16,368;0,846;3,2;-8,584;14,852;191,76;-44,571;-82,253;-57,021;-70,633;14,1;45,152;6,552;-8,536;20,962;-4,94;11,136;-14,1;0,658;20,169;16,019;45,899;39,259;-117,375;-307,183;129,4225;-8,515798;-63,29133
1200;5,859;16,368;0,9399999;3,2;-8,584;14,852;191,76;-44,571;-82,253;-57,021;-70,633;14,025;45,152;6,552;-8,448;21,056;-4,94;11,136;-14,1;0,564;20,169;16,019;45,899;39,342;-117,375;-307,183;129,1738;-8,589866;-45,08225
1300;5,859;16,368;0,9399999;3,2;-8,584;14,852;191,76;-44,571;-82,253;-57,021;-70,633;14,1;45,152;6,552;-8,448;21,15;-4,94;11,136;-14,1;0,47;20,252;16,019;45,899;39,342;-117,375;-307,183;128,9922;-8,643178;-28,06079
1400;5,859;16,368;0,9399999;3,2;-8,584;14,852;191,76;-44,571;-82,253;-57,021;-70,633;14,1;45,152;6,552;-8,536;21,056;-4,94;11,136;-14,194;0,47;20,252;16,019;45,982;39,342;-117,375;-307,183;128,8883;-8,925799;-10,42753
1500;5,796;16,28;0,47;3,2;-8,584;14,946;191,76;-44,571;-82,253;-57,021;-70,633;14,025;45,152;6,363;-9,064;20,68;-4,88;11,136;-14,664;0,752;20,252;16,019;45,982;40,255;-117,375;-307,183;128,5506;-9,598893;8,557574
1600;5,544;16,28;0;3,2;-8,584;15,134;191,76;-44,571;-82,253;-57,021;-70,633;14,1;45,152;4,347;-10,384;21,62;-4,64;11,136;-14,664;0,376;21,331;16,019;45,982;40,504;-117,375;-307,183;128,1127;-9,878999;25,98462
1700;5,103;16,368;-0,47;3,2;-8,584;15,51;191,76;-44,571;-82,253;-57,021;-70,633;14,1;45,152;0,441;-11,44;23,124;-4,64;11,136;-15,98;-0,188;22,078;16,019;48,638;41,002;-117,375;-307,183;127,9812;-9,675279;46,97076
1800;4,347;16,368;-1,974;3,2;-8,584;15,886;191,76;-44,571;-82,253;-57,021;-70,55;14,1;45,152;-4,41;-12,144;26,32;-4,64;10,614;-18,048;-1,504;23,655;16,019;52,373;42,745;-117,375;-307,183;128,0331;-9,1434;67,36356
1900;3,402;16,368;-3,102;3,2;-8,757999;15,98;191,76;-44,571;-82,17;-57,021;-70,55;14,1;45,235;-9,954;-12,672;29,422;-5,2;7,714;-18,8;-4,7;23,904;16,019;54,448;42,911;-117,375;-307,183;128,2506;-8,259436;87,80844
2000;2,205;16,72;-4,23;3,2;-8,816;15,98;191,76;-44,571;-82,253;-57,021;-70,55;14,1;45,152;-16,002;-13,552;32,054;-7,9;4,872;-18,988;-5,546;24,153;16,019;55,195;42,911;-117,375;-307,183;128,9959;-7,26038;109,857
2100;0,504;17,336;-6,392;3,2;-8,99;16,074;191,76;-44,571;-82,253;-57,021;-70,467;14,1;45,152;-23,373;-15,048;28,764;-9,88;-0,9859999;-19,74;-8,835999;25,481;16,434;57,436;44,239;-117,375;-307,183;130,7225;-6,703964;128,8765
2200;-0,945;18,216;-8,929999;3,26;-9,454;15,886;191,76;-44,571;-82,253;-57,021;-70,467;14,1;45,152;-32,193;-16,72;25,756;-10,58;-0,7539999;-15,98;-6,392;25,481;16,517;57,436;44,239;-117,375;-307,183;132,0417;-6,947435;150,4729
2300;-1,764;19,008;-11,186;3,26;-10,092;15,416;191,76;-44,571;-82,253;-57,021;-70,467;14,1;45,152;-41,454;-17,072;25,85;-11,04;-0,406;-13,16;-5,264;25,73;16,517;57,519;44,156;-117,375;-307,183;132,4682;-7,664148;171,5426
2400;-2,52;19,36;-12,69;3,26;-10,092;14,852;191,76;-44,571;-82,253;-57,021;-70,467;14,1;45,152;-50,337;-15,84;26,884;-11,14;-0,406;-11,75;-7,426;26,228;16,517;57,519;42,911;-117,375;-307,183;132,1342;-8,768883;-167,5163
2500;-3,78;19,624;-15,886;3,44;-10,092;14,664;191,76;-44,571;-82,253;-57,021;-70,467;14,4;45,152;-58,212;-13,904;28,106;-11,82;-0,406;-11,562;-10,34;26,394;16,517;57,519;42,579;-117,375;-307,183;131,8008;-9,314234;-148,1825
2600;-4,977;19,8;-18,518;3,94;-10,15;14,758;191,76;-44,571;-82,253;-57,021;-70,467;14,7;50,879;-65,142;-11,44;29,61;-12,56;-0,406;-11,938;-7,802;26,56;16,517;57,519;42,413;-117,375;-307,183;131,4911;-9,485204;-128,3366
2700;-5,355;20,24;-19,27;4,48;-10,324;14,758;191,76;-44,571;-82,253;-57,021;-70,467;14,925;55,444;-69,867;-8,712;31,02;-12,58;-0,696;-12,784;-6,204;26,643;16,517;57,519;42,413;-117,375;-307,183;131,4333;-9,447074;-111,4697
2800;-5,355;20,592;-18,518;4,58;-10,324;14,758;191,76;-44,571;-82,253;-57,021;-70,467;15,225;55,693;-72,702;-7,04;32,994;-12,58;-1,798;-12,878;-4,888;26,643;16,517;57,519;42,413;-117,375;-307,183;131,6317;-9,800963;-93,42934
2900;-5,229;20,68;-16,544;4,58;-10,324;14,758;191,76;-44,571;-82,253;-57,021;-70,467;15,3;56,523;-73,773;-6,688;33,934;-12,58;-4,292;-12,596;-5,264;26,643;16,517;57,519;42,413;-117,375;-307,183;131,8002;-10,5354;-75,6137
3000;-4,347;20,68;-14,1;4,58;-10,324;14,476;191,76;-44,571;-82,253;-57,021;-70,467;15,675;56,44;-73,836;-7,04;33,37;-12,58;-4,64;-12,878;-5,546;26,643;16,517;57,851;42,413;-117,375;-307,183;131,7566;-11,39432;-59,83994
3100;-3,591;20,856;-12,314;4,58;-10,324;14,194;191,76;-44,571;-82,253;-57,021;-70,467;15,825;50,879;-73,836;-7,48;32,994;-12,58;-4,64;-12,408;-5,076;27,141;16,517;57,851;42,413;-117,375;-307,183;131,5534;-11,93155;-42,54198
3200;-3,213;20,856;-11,186;4,58;-10,324;14,1;191,76;-44,571;-82,253;-57,021;-70,467;15,225;47,061;-73,836;-7,832;32,712;-12,58;-4,64;-11,938;-4,324;27,224;16,517;57,851;42,413;-117,375;-307,183;131,4469;-12,2036;-25,51268
3300;-2,961;20,592;-10,246;4,58;-10,324;14,1;191,76;-44,571;-82,253;-57,021;-70,467;14,475;46,48;-73,836;-8,096;32,43;-12,58;-4,64;-11,938;-4,418;27,307;16,517;57,851;42,413;-117,375;-307,183;131,5442;-12,42304;-8,464662
3400;-2,961;20,592;-10,246;4,58;-10,324;14,1;191,76;-44,571;-82,253;-57,021;-70,467;14,625;46,48;-73,836;-8,272;32,524;-12,58;-4,582;-12,126;-5,358;28,718;16,517;57,851;42,579;-117,375;-307,183;131,8772;-12,83894;8,546777
3500;-2,961;20,592;-10,246;4,58;-10,324;14,194;191,76;-44,571;-82,253;-57,021;-70,467;14,625;46,48;-73,836;-8,272;32,9;-12,58;-4,408;-12,314;-6,58;31,374;16,517;58,1;43,326;-117,375;-307,183;132,1738;-13,4173;29,07824
3600;-2,961;20,504;-10,434;4,58;-10,324;14,382;191,76;-44,571;-82,253;-57,021;-70,467;14,625;46,48;-73,836;-8,184;33,088;-12,58;-4,408;-12,126;-8,648;46,563;34,694;70,384;66,981;-11,25;-27,888;132,3612;-13,88923;48,21743
3700;-2,961;20,504;-10,716;4,58;-10,324;14,476;191,76;-44,571;-82,253;-57,021;-70,467;14,55;46,48;-73,773;-8,008;33,558;-12,9;-4,872;-11,656;-10,81;62,333;92,96;101,758;116,283;-7,95;-28,386;132,4506;-14,2109;66,84386
3800;-2,961;20,504;-10,716;4,58;-10,324;14,57;191,76;-44,571;-82,253;-57,021;-70,467;14,55;46,48;-73,647;-8,096;33,276;-13,86;-5,394;-10,246;-10,81;89,391;114,623;125,081;133,215;-6,075;-41,915;132,4525;-14,33556;84,23843
3900;-2,961;20,504;-10,34;4,58;-10,324;14,57;191,76;-44,654;-82,253;-57,021;-70,467;14,475;46,48;-73,647;-8,184;33,088;-14,34;-5,858;-7,708;-10,434;116,947;124,583;139,108;138,278;-5,175;-59,096;132,665;-14,36753;103,8832
4000;-2,961;20,504;-10,058;4,58;-10,324;14,664;191,76;-44,654;-82,253;-57,021;-70,467;14,55;46,48;-73,647;-8,36;33,464;-14,68;-8,061999;-5,546;-8,742;120,184;136,95;141,349;139,772;-4,05;-69,305;132,8475;-14,39166;124,5264
4100;-2,898;20,504;-9,776;4,58;-10,324;14,664;191,76;-44,654;-82,253;-57,021;-70,467;14,55;46,48;-73,647;-8,272;34,31;-14,78;-9,686;-4,888;-6,486;120,267;139,772;141,349;139,938;-4,05;-75,696;132,9115;-14,52274;144,6743
4200;-2,898;20,504;-9,776;4,58;-10,324;14,664;191,76;-44,654;-82,253;-57,021;-70,467;14,475;46,48;-73,647;-8,184;35,062;-15,1;-10,614;-5,076;-4,7;120,267;140,27;141,598;139,855;-4,35;-75,696;132,918;-14,65619;164,3077
4300;-2,898;20,416;-9,776;4,58;-10,324;14,758;191,76;-44,654;-82,253;-57,021;-70,467;14,475;46,48;-73,647;-8,184;36,284;-15,12;-11,252;-6,016;-5,828;120,35;140,27;141,764;139,855;-4,875;-75,696;132,7615;-14,62168;-176,5557
4400;-2,835;20,328;-9,776;4,58;-10,324;14,664;191,76;-44,654;-82,253;-57,021;-70,467;14,475;46,48;-73,71;-8,096;36,754;-15,2;-11,31;-6,956;-6,674;120,35;140,187;141,764;139,772;-5,325;-75,53;132,706;-14,10202;-157,3326
4500;-2,835;20,416;-9,493999;4,58;-10,324;14,664;191,76;-44,654;-82,253;-57,021;-70,467;14,55;46,48;-73,71;-8,272;36,66;-15,26;-11,31;-7,332;-6,768;120,35;140,021;141,764;139,523;-5,475;-75,53;132,7322;-14,16975;-139,7334
4600;-2,709;20,416;-9,212;4,58;-10,324;14,758;191,76;-44,654;-82,253;-57,021;-70,467;14,475;46,48;-73,71;-8,36;36,378;-15,26;-11,31;-7,708;-6,674;120,35;139,938;141,764;139,274;-5,475;-75,53;132,6909;-14,3482;-122,7243
4700;-2,709;20,416;-9,212;4,58;-10,324;14,758;191,76;-44,654;-82,253;-57,021;-70,467;14,475;46,48;-73,71;-8,536;36,284;-15,26;-11,31;-7,802;-6,392;120,35;139,938;141,764;139,191;-5,55;-75,447;132,5698;-14,51964;-103,1999
4800;-2,709;20,416;-9,212;4,58;-10,324;14,758;191,76;-44,737;-82,253;-57,021;-70,467;14,475;46,48;-73,71;-8,624;36,284;-15,26;-11,31;-7,614;-6,204;120,35;139,855;141,764;139,191;-5,55;-75,447;132,4014;-14,63495;-86,19704
4900;-2,709;20,328;-9,212;4,58;-10,324;14,758;191,76;-44,654;-82,253;-57,021;-70,467;14,475;46,48;-73,71;-8,624;36,19;-15,26;-11,31;-7,52;-6,204;120,35;139,855;141,764;139,191;-5,55;-75,447;132,2407;-14,65836;-67,27686
5000;-2,646;20,416;-9,118;4,58;-10,324;14,758;191,76;-44,654;-82,253;-57,021;-70,467;14,475;46,48;-73,71;-8,712;36,096;-15,26;-11,31;-7,426;-6,204;120,267;139,855;141,764;139,191;-5,55;-75,447;132,1891;-14,71442;-50,30531
5100;-2,583;20,416;-9,024;4,58;-10,324;14,758;191,76;-44,654;-82,253;-57,021;-70,467;14,475;46,48;-73,71;-8,8;35,72;-15,26;-11,31;-7,52;-6,11;120,184;139,855;141,764;139,191;-5,55;-75,447;132,1916;-14,83012;-33,29744
5200;-2,583;20,328;-9,024;4,58;-10,324;14,758;191,76;-44,654;-82,253;-57,021;-70,467;14,475;46,48;-73,71;-8,888;35,626;-15,26;-11,31;-7,614;-6,11;120,184;139,772;141,764;139,191;-5,55;-75,447;132,2088;-15,00803;-13,7095
5300;-2,583;20,416;-9,024;4,58;-10,324;14,758;191,76;-44,654;-82,253;-57,021;-70,467;14,475;46,48;-73,71;-8,888;35,532;-15,26;-11,31;-7,614;-6,11;120,184;139,772;141,764;139,108;-5,55;-75,364;132,3039;-15,48507;3,162902
